date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:37:05	58554/58554	---M--	200	added ('OK')	image/jpeg	etag:%22c4ec3720554c63a76a86b6c28e5f7e2f%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/EwL2FouRk14lo484XJdVUHoHI0C7Kluh.JPG	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/EwL2FouRk14lo484XJdVUHoHI0C7Kluh.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=5,19)
18:37:05	60976/60976	---M--	200	added ('OK')	image/jpeg	etag:%22d0dd822d871d62492298261569f584da%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/pY2rBDgZaS7TDBeqJeQPWoPVMJJZbN95.JPG	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/pY2rBDgZaS7TDBeqJeQPWoPVMJJZbN95.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=5,19)
18:37:06	60566/60566	---M--	200	added ('OK')	image/jpeg	etag:%226e224630b064233d6244c9348cb15249%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/BfNYm9S7JU4w11UHMKEW8AMEboc1jaju.JPG	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/BfNYm9S7JU4w11UHMKEW8AMEboc1jaju.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=5,19)
18:37:06	83506/83506	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:07%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-akinci-siyah-cocuk-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-akinci-siyah-cocuk-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=186,187,183)
18:37:06	824191/824191	---M--	200	added ('OK')	image/jpeg	etag:%222d065e3878c9f8fb0ea11b3647898b71%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/yV2p2eeJOeu9kEVzMuFFVevm4TUCdnCO.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/yV2p2eeJOeu9kEVzMuFFVevm4TUCdnCO.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=186,187,183)
18:37:07	841716/841716	---M--	200	added ('OK')	image/jpeg	etag:%22a4fc340fb6be92f5048106f9b7b078f1%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/qJMXQhG6o69uy9O5FapfzwsGeDMzzjAk.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/qJMXQhG6o69uy9O5FapfzwsGeDMzzjAk.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=186,187,183)
18:37:07	84915/84915	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:07%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-akinci-beyaz-cocuk-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-akinci-beyaz-cocuk-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=186,187,183)
18:37:07	964198/964198	---M--	200	added ('OK')	image/jpeg	etag:%22a8abbc44146e4b37910cf8cddf8ff530%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/KloPsb3omkflI0bRvmN3zcDheQBx8N5k.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/KloPsb3omkflI0bRvmN3zcDheQBx8N5k.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=186,187,183)
18:37:07	800901/800901	---M--	200	added ('OK')	image/jpeg	etag:%22490cab1155044708d90caa54827e9f90%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/Ig82fegeAtf1OqhA4h1ka3R6mmgzUyfL.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/Ig82fegeAtf1OqhA4h1ka3R6mmgzUyfL.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=186,187,183)
18:37:08	736888/736888	---M--	200	added ('OK')	image/jpeg	etag:%22abda683847022c68084f44c7216e1e96%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/U7fvlNRaUFC7lLSfScl5ePwVgeuZIiPw.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/U7fvlNRaUFC7lLSfScl5ePwVgeuZIiPw.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=186,187,183)
